Model,MCC,ROC_AUC,Balanced_Accuracy,F1,Recall,Precision,Specificity,NPV,PR_AUC
LogisticRegression,0.95330101061396,0.9969040247678018,0.9705882352941176,0.9696969696969696,0.9558823529411764,1.0,1.0,0.973959938366718,0.9955882352941176
GaussianNB,0.8827559547308726,0.987874097007224,0.9281475748194016,0.9206349206349206,0.8823529411764706,0.9649014778325125,0.9824561403508772,0.9333333333333332,0.9845047195666392
LDA,0.9080163720544896,0.9956140350877194,0.947110423116615,0.9393939393939394,0.9117647058823528,1.0,1.0,0.9491525423728814,0.9932915877632996
SVM,0.9530443756449948,0.9971620227038184,0.9705882352941176,0.9696969696969696,0.9558823529411764,0.9705882352941176,0.9824561403508772,0.973616885193476,0.9953498720218988
RandomForest,0.9060887512899896,0.989422084623323,0.9500773993808048,0.9402852049910874,0.9411764705882352,0.9428571428571428,0.9649122807017544,0.9639610389610388,0.9869848710658056
LightGBM,0.929405370957015,0.9945820433436532,0.9618163054695562,0.9552238805970148,0.9411764705882352,0.9696969696969696,0.9824561403508772,0.9655172413793104,0.9928487362310892
